ticket_id,customer_id,account_tier,created_at,resolved_at,ticket_subject,customer_feedback
TICK-1054,CUST-578,Mid-Market,2026-08-03 16:00:00,2026-08-04 19:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1055,CUST-200,Free,2026-08-04 21:00:00,2026-08-06 15:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1056,CUST-919,Mid-Market,2026-08-05 07:00:00,2026-08-06 05:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1057,CUST-649,Enterprise,2026-08-02 10:00:00,2026-08-02 23:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1058,CUST-385,Enterprise,2026-08-03 16:00:00,2026-08-04 04:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1059,CUST-927,Enterprise,2026-08-01 19:00:00,2026-08-03 00:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1060,CUST-653,Enterprise,2026-08-01 16:00:00,2026-08-03 10:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1061,CUST-270,Enterprise,2026-08-05 10:00:00,2026-08-06 02:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1062,CUST-985,Mid-Market,2026-08-03 23:00:00,2026-08-04 13:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1063,CUST-102,Enterprise,2026-08-02 07:00:00,2026-08-03 08:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1064,CUST-533,Mid-Market,2026-08-03 20:00:00,2026-08-04 15:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1065,CUST-258,Free,2026-08-05 05:00:00,2026-08-06 13:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1066,CUST-693,Mid-Market,2026-08-02 13:00:00,2026-08-02 17:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1067,CUST-158,Enterprise,2026-08-05 09:00:00,2026-08-06 06:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1068,CUST-973,Free,2026-08-03 23:00:00,2026-08-05 08:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1069,CUST-182,Enterprise,2026-08-01 17:00:00,2026-08-03 02:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1070,CUST-791,Enterprise,2026-08-04 14:00:00,2026-08-04 19:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1071,CUST-352,Mid-Market,2026-08-02 01:00:00,2026-08-03 14:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1072,CUST-183,Free,2026-08-01 15:00:00,2026-08-03 07:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1073,CUST-635,Free,2026-08-04 12:00:00,2026-08-06 01:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1074,CUST-833,Mid-Market,2026-08-02 12:00:00,2026-08-04 07:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1075,CUST-234,Enterprise,2026-08-02 19:00:00,2026-08-03 21:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1076,CUST-109,Mid-Market,2026-08-03 02:00:00,2026-08-03 07:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1077,CUST-175,Free,2026-08-04 10:00:00,2026-08-04 17:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1078,CUST-235,Enterprise,2026-08-04 02:00:00,2026-08-04 19:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1079,CUST-391,Enterprise,2026-08-02 17:00:00,2026-08-03 17:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1080,CUST-409,Mid-Market,2026-08-04 07:00:00,2026-08-06 05:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1081,CUST-783,Free,2026-08-04 05:00:00,2026-08-04 06:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1082,CUST-999,Mid-Market,2026-08-04 22:00:00,2026-08-05 05:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1083,CUST-860,Mid-Market,2026-08-02 00:00:00,2026-08-02 07:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1084,CUST-719,Enterprise,2026-08-02 20:00:00,2026-08-03 15:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1085,CUST-803,Free,2026-08-03 05:00:00,2026-08-03 19:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1086,CUST-966,Free,2026-08-04 00:00:00,2026-08-04 17:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1087,CUST-949,Enterprise,2026-08-04 19:00:00,2026-08-05 23:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1088,CUST-889,Enterprise,2026-08-01 10:00:00,2026-08-02 08:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1089,CUST-859,Free,2026-08-02 19:00:00,2026-08-03 06:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1090,CUST-674,Free,2026-08-05 04:00:00,2026-08-06 08:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1091,CUST-252,Enterprise,2026-08-01 19:00:00,2026-08-03 16:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1092,CUST-665,Enterprise,2026-08-03 09:00:00,2026-08-04 23:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1093,CUST-415,Mid-Market,2026-08-02 02:00:00,2026-08-02 05:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1094,CUST-798,Enterprise,2026-08-03 07:00:00,2026-08-03 21:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1095,CUST-898,Free,2026-08-01 23:00:00,2026-08-02 22:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1096,CUST-258,Mid-Market,2026-08-04 17:00:00,2026-08-06 17:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1097,CUST-125,Enterprise,2026-08-02 08:00:00,2026-08-03 11:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1098,CUST-921,Free,2026-08-03 04:00:00,2026-08-04 07:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1099,CUST-210,Mid-Market,2026-08-02 06:00:00,2026-08-04 03:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1100,CUST-304,Enterprise,2026-08-03 22:00:00,2026-08-04 13:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
